,Row,Date,Company Name,Ticker,Broker,Analyst,Rating Before,Rating After,Price Target Before,Price Target After,Rating Action
109,152,3/29/2023,Lululemon Athletica,LULU,Telsey Advisory,Dana Telsey,Outperform,Outperform,425,425,No Change
110,168,3/29/2023,Lululemon Athletica,LULU,,Gregory Francfort,Buy,Buy,440,440,No Change
111,167,3/29/2023,Lululemon Athletica,LULU,,David Manthey,Outperform,Outperform,425,425,No Change
112,168,3/29/2023,Lululemon Athletica,LULU,,Gregory Francfort,Buy,Buy,440,440,No Change
113,167,3/29/2023,Lululemon Athletica,LULU,,David Manthey,Outperform,Outperform,425,425,No Change
114,152,3/29/2023,Lululemon Athletica,LULU,Telsey Advisory,Dana Telsey,Outperform,Outperform,425,425,No Change
115,127,3/29/2023,Lululemon Athletica,LULU,,Dan Brennan,Outperform,Outperform,500,500,No Change
116,369,4/20/2023,Lululemon Athletica,LULU,Baml,Lorraine Hutchinson,Buy,Buy,410,450,No Change
117,128,4/27/2023,Lululemon Athletica,LULU,,Dan Brennan,Outperform,Outperform,525,525,No Change
118,128,4/27/2023,Lululemon Athletica,LULU,,Dan Brennan,Outperform,Outperform,525,525,No Change
119,153,5/26/2023,Lululemon Athletica,LULU,Telsey Advisory,Dana Telsey,Outperform,Outperform,425,425,No Change
120,153,5/26/2023,Lululemon Athletica,LULU,Telsey Advisory,Dana Telsey,Outperform,Outperform,425,425,No Change
121,505,6/2/2023,Lululemon Athletica,LULU,,Noah Zatzkin,Overweight,Overweight,400,400,No Change
122,763,6/2/2023,Lululemon Athletica,LULU,Wedbush,Tom Nikic,Outperform,Outperform,415,415,No Change
123,154,6/2/2023,Lululemon Athletica,LULU,Telsey Advisory,Dana Telsey,Outperform,Outperform,430,430,No Change
124,730,6/2/2023,Lululemon Athletica,LULU,Bmo,Simeon Siegel,Market Perform,Market Perform,355,355,No Change
125,154,6/2/2023,Lululemon Athletica,LULU,Telsey Advisory,Dana Telsey,Outperform,Outperform,430,430,No Change
126,33,6/5/2023,Lululemon Athletica,LULU,Barclays,Adrienne Yih,Overweight,Overweight,430,430,No Change
127,572,6/5/2023,Lululemon Athletica,LULU,Citi,Paul Lejuez,Buy,Buy,450,450,No Change
128,33,6/5/2023,Lululemon Athletica,LULU,Barclays,Adrienne Yih,Overweight,Overweight,430,430,No Change
129,506,7/25/2023,Lululemon Athletica,LULU,,Noah Zatzkin,Overweight,Overweight,425,425,No Change
130,155,8/25/2023,Lululemon Athletica,LULU,Telsey Advisory,Dana Telsey,Outperform,Outperform,430,430,No Change
131,155,8/25/2023,Lululemon Athletica,LULU,Telsey Advisory,Dana Telsey,Outperform,Outperform,430,430,No Change
132,764,8/30/2023,Lululemon Athletica,LULU,Wedbush,Tom Nikic,Outperform,Outperform,415,415,No Change
133,156,9/1/2023,Lululemon Athletica,LULU,Telsey Advisory,Dana Telsey,Outperform,Outperform,450,450,No Change
