,Row,Date,Company Name,Ticker,Broker,Analyst,Rating Before,Rating After,Price Target Before,Price Target After,Score Before,Score After ,Event Type
456,1560,7/22/2024,Amazon.com Inc,AMZN,Truist,Youssef Squali,Buy,Buy,230,230,1,1,No change
457,1023,7/22/2024,Amazon.com Inc,AMZN,NaN,Mark Shmulik,Outperform,Outperform,215,215,1,1,No change
458,208,7/23/2024,Amazon.com Inc,AMZN,Morgan Stanley,Brian Nowak,Overweight,Overweight,240,240,1,1,No change
459,1131,7/23/2024,Amazon.com Inc,AMZN,Jmp,Nicholas Jones,Market Outperform,Market Outp,225,225,NaN,NaN,None
460,231,7/25/2024,Amazon.com Inc,AMZN,NaN,Brian Pitz,Outperform,Outperform,230,230,1,1,No change
461,1353,7/26/2024,Amazon.com Inc,AMZN,Wedbush,Scott Devitt,Outperform,Outperform,225,225,1,1,No change
462,352,8/2/2024,Amazon.com Inc,AMZN,Benchmark,Daniel Kurnos,Buy,Buy,200,200,1,1,No change
463,798,8/2/2024,Amazon.com Inc,AMZN,Baml,Justin Post,Buy,Buy,210,210,1,1,No change
464,1515,8/2/2024,Amazon.com Inc,AMZN,NaN,Tom Forte,Buy,Buy,251,251,1,1,No change
465,78,8/2/2024,Amazon.com Inc,AMZN,Rbc,Brad Erickson,Outperform,Outperform,215,215,1,1,No change
466,1481,8/2/2024,Amazon.com Inc,AMZN,Piper Sandler,Thomas Champion,Overweight,Overweight,215,215,1,1,No change
467,902,8/2/2024,Amazon.com Inc,AMZN,NaN,Mark Kelley,Buy,Buy,224,224,1,1,No change
468,1201,8/2/2024,Amazon.com Inc,AMZN,NaN,Rohit Kulkarni,Buy,Buy,215,215,1,1,No change
469,1354,8/2/2024,Amazon.com Inc,AMZN,Wedbush,Scott Devitt,Outperform,Outperform,225,225,1,1,No change
470,122,8/2/2024,Amazon.com Inc,AMZN,Jefferies,Brent Thill,Buy,Buy,225,225,1,1,No change
471,440,8/2/2024,Amazon.com Inc,AMZN,Jpmorgan,Doug Anmuth,Overweight,Overweight,230,230,1,1,No change
472,1132,9/3/2024,Amazon.com Inc,AMZN,Jmp,Nicholas Jones,Market Outperform,Market Outp,265,265,NaN,NaN,None
473,372,9/5/2024,Amazon.com Inc,AMZN,NaN,Deepak Mathivanan,Overweight,Overweight,230,230,1,1,No change
474,832,9/12/2024,Amazon.com Inc,AMZN,NaN,Laura Martin,Buy,Buy,210,210,1,1,No change
475,232,9/19/2024,Amazon.com Inc,AMZN,NaN,Brian Pitz,Outperform,Outperform,230,230,1,1,No change
