Row,Date,Company Name,Ticker,Broker,Analyst,Rating Before,Rating After,Price Target Before,Price Target After,Event Type
781,2023-06-05,Costco Wholesale,COST,Oppenheimer,Rupesh Parikh,Outperform,Outperform,575,575,No Change
212,2023-06-08,Costco Wholesale,COST,Tigress Partners,Ivan Feinseth,Buy,Buy,635,635,No Change
264,2023-06-29,Costco Wholesale,COST,,Joseph Feldman,Outperform,Outperform,540,540,No Change
597,2023-07-10,Costco Wholesale,COST,Citi,Paul Lejuez,Neutral,Neutral,530,530,No Change
769,2023-07-25,Costco Wholesale,COST,Oppenheimer,Rupesh Parikh,Outperform,Outperform,575,630,No Change
265,2023-08-03,Costco Wholesale,COST,Telsey Advisory,Joseph Feldman,Outperform,Outperform,575,575,No Change
266,2023-08-28,Costco Wholesale,COST,Telsey Advisory,Joseph Feldman,Outperform,Outperform,575,575,No Change
491,2023-08-31,Costco Wholesale,COST,Stifel,Mark Astrachan,Buy,Buy,575,575,No Change
196,2023-09-08,Costco Wholesale,COST,Evercore,Greg Melich,Outperform,Outperform,600,600,No Change
267,2023-09-18,Costco Wholesale,COST,Telsey Advisory,Joseph Feldman,Outperform,Outperform,575,575,No Change
521,2023-09-26,Costco Wholesale,COST,D.A. Davidson,Michael Baker,Neutral,Neutral,478,570,No Change
268,2023-09-27,Costco Wholesale,COST,Telsey Advisory,Joseph Feldman,Outperform,Outperform,575,575,No Change
741,2023-09-27,Costco Wholesale,COST,Baml,Robert Ohmes,Buy,Buy,610,610,No Change
14,2023-09-27,Costco Wholesale,COST,Roth Mkm,Bill Kirk,Neutral,Neutral,502,502,No Change
26,2023-09-27,Costco Wholesale,COST,,Bobby Griffin,Outperform,Outperform,580,580,No Change
831,2023-10-05,Costco Wholesale,COST,,Scot Ciccarelli,Buy,Buy,619,619,No Change
269,2023-10-19,Costco Wholesale,COST,Telsey Advisory,Joseph Feldman,Outperform,Outperform,600,600,No Change
270,2023-11-02,Costco Wholesale,COST,Telsey Advisory,Joseph Feldman,Outperform,Outperform,600,600,No Change
492,2023-11-30,Costco Wholesale,COST,Stifel,Mark Astrachan,Buy,Buy,615,615,No Change
832,2023-11-30,Costco Wholesale,COST,,Scot Ciccarelli,Buy,Buy,619,619,No Change
782,2023-12-15,Costco Wholesale,COST,Oppenheimer,Rupesh Parikh,Outperform,Outperform,675,675,No Change
213,2023-12-29,Costco Wholesale,COST,Tigress Partners,Ivan Feinseth,Buy,Buy,745,745,No Change
783,2024-02-02,Costco Wholesale,COST,Oppenheimer,Rupesh Parikh,Outperform,Outperform,760,760,No Change
345,2024-02-08,Costco Wholesale,COST,Goldman Sachs,Kate Mcshane,Buy,Buy,749,749,No Change
176,2024-02-08,Costco Wholesale,COST,,George Kelly,Equal Weight,Equal Weight,675,675,No Change
484,2024-03-08,Costco Wholesale,COST,Stifel,Mark Astrachan,Buy,Buy,735,800,No Change
524,2024-03-08,Costco Wholesale,COST,D.A. Davidson,Michael Baker,Neutral,Neutral,600,680,No Change
367,2024-03-11,Costco Wholesale,COST,Bmo,Kelly Bania,Outperform,Outperform,800,800,No Change
271,2024-04-04,Costco Wholesale,COST,Telsey Advisory,Joseph Feldman,Outperform,Outperform,800,800,No Change
272,2024-04-11,Costco Wholesale,COST,Telsey Advisory,Joseph Feldman,Outperform,Outperform,800,800,No Change
528,2024-04-11,Costco Wholesale,COST,D.A. Davidson,Michael Baker,Neutral,Neutral,680,680,No Change
434,2024-04-11,Costco Wholesale,COST,Loop Capital,Laura Champine,Buy,Buy,830,820,No Change
594,2024-04-23,Costco Wholesale,COST,Citi,Paul Lejuez,Neutral,Neutral,630,710,No Change
273,2024-05-06,Costco Wholesale,COST,Telsey Advisory,Joseph Feldman,Outperform,Outperform,800,800,No Change
439,2024-05-09,Costco Wholesale,COST,Loop Capital,Laura Champine,Buy,Buy,820,840,No Change
197,2024-05-14,Costco Wholesale,COST,,Greg Melich,Outperform,Outperform,820,820,No Change
784,2024-05-22,Costco Wholesale,COST,Oppenheimer,Rupesh Parikh,Outperform,Outperform,850,850,No Change
92,2024-05-28,Costco Wholesale,COST,Argus,Christopher Graja,Buy,Buy,900,900,No Change
833,2024-05-31,Costco Wholesale,COST,Truist,Scot Ciccarelli,Buy,Buy,873,873,No Change
578,2024-05-31,Costco Wholesale,COST,Td Cowen,Oliver Chen,Buy,Buy,850,850,No Change
274,2024-05-31,Costco Wholesale,COST,Telsey Advisory,Joseph Feldman,Outperform,Outperform,850,850,No Change
368,2024-05-31,Costco Wholesale,COST,Bmo,Kelly Bania,Outperform,Outperform,875,875,No Change
177,2024-05-31,Costco Wholesale,COST,,George Kelly,Equal Weight,Equal Weight,775,775,No Change
320,2024-05-31,Costco Wholesale,COST,,Karen Short,Equal Weight,Equal Weight,765,765,No Change
485,2024-05-31,Costco Wholesale,COST,Stifel,Mark Astrachan,Buy,Buy,800,850,No Change
15,2024-05-31,Costco Wholesale,COST,,Bill Kirk,Neutral,Neutral,676,676,No Change
204,2024-05-31,Costco Wholesale,COST,,Greg Melich,Outperform,Outperform,860,860,No Change
525,2024-05-31,Costco Wholesale,COST,D.A. Davidson,Michael Baker,Neutral,Neutral,680,780,No Change
260,2024-06-06,Costco Wholesale,COST,Telsey Advisory,Joseph Feldman,Outperform,Outperform,850,900,No Change
775,2024-06-06,Costco Wholesale,COST,Oppenheimer,Rupesh Parikh,Outperform,Outperform,850,905,No Change
441,2024-06-14,Costco Wholesale,COST,Loop Capital,Laura Champine,Buy,Buy,890,940,No Change
205,2024-06-20,Costco Wholesale,COST,,Greg Melich,Outperform,Outperform,890,890,No Change
214,2024-06-25,Costco Wholesale,COST,Tigress Partners,Ivan Feinseth,Buy,Buy,975,975,No Change
